,Instrument,Original Announcement Date Time,Debt - Long-Term - Total,Total Current Assets,Total Current Liabilities,Net Income after Tax,Revenue from Business Activities - Total,Cost of Operating Revenue,Operating Profit before Non-Recurring Income/(Expense),Net Cash Flow from Operating Activities,Total Shareholders' Equity incl Minority Intr & Hybrid Debt
5589,CTSH.OQ,2018-08-02T10:23:15Z,649000000.0,8303000000.0,2537000000.0,455000000.0,4006000000.0,2531000000.0,670000000.0,640000000.0,10648000000.0
5590,FISV.OQ,2021-04-27T11:01:00Z,20838000000.0,16440000000.0,15905000000.0,302000000.0,3755000000.0,1907000000.0,481000000.0,952000000.0,32586000000.0
5591,FISV.OQ,2021-02-09T21:01:00Z,20300000000.0,16219000000.0,15637000000.0,316000000.0,3832000000.0,1857000000.0,596000000.0,1186000000.0,33070000000.0
5592,FISV.OQ,2020-10-27T20:01:00Z,20894000000.0,14025000000.0,13263000000.0,257000000.0,3786000000.0,1868000000.0,510000000.0,1042000000.0,32429000000.0
5593,FISV.OQ,2020-08-05T20:01:00Z,21515000000.0,17482000000.0,16760000000.0,19000000.0,3465000000.0,1920000000.0,208000000.0,1031000000.0,33028000000.0
5594,FISV.OQ,2020-05-07T20:04:00Z,21630000000.0,12933000000.0,12119000000.0,383000000.0,3769000000.0,2167000000.0,198000000.0,888000000.0,33287000000.0
5595,FISV.OQ,2020-02-04T21:01:00Z,21612000000.0,17046000000.0,15727000000.0,224000000.0,4045000000.0,2061000000.0,521000000.0,1178000000.0,34595000000.0
5596,FISV.OQ,2019-11-06T21:01:00Z,22123000000.0,17991000000.0,16661000000.0,203000000.0,3128000000.0,1617000000.0,374000000.0,1038000000.0,33760000000.0
5597,FISV.OQ,2019-07-25T20:01:00Z,13747000000.0,10209000000.0,2054000000.0,231000000.0,1512000000.0,785000000.0,384000000.0,206000000.0,2546000000.0
5598,FISV.OQ,2019-04-30T20:01:00Z,5868000000.0,2275000000.0,2120000000.0,227000000.0,1502000000.0,798000000.0,363000000.0,373000000.0,2394000000.0
5599,FISV.OQ,2019-02-07T21:01:00Z,5955000000.0,2224000000.0,2010000000.0,284000000.0,1551000000.0,822000000.0,431000000.0,571000000.0,2293000000.0
5600,FISV.OQ,2018-10-31T20:01:00Z,4823000000.0,2338000000.0,2320000000.0,245000000.0,1412000000.0,749000000.0,358000000.0,368000000.0,2661000000.0
5601,FISV.OQ,2018-07-31T20:01:00Z,4805000000.0,1804000000.0,1655000000.0,244000000.0,1420000000.0,739000000.0,361000000.0,241000000.0,2850000000.0
5602,PPG.N,2021-04-15T20:17:00Z,5336000000.0,7339000000.0,5120000000.0,385000000.0,3881000000.0,2361000000.0,508000000.0,-23000000.0,5969000000.0
5603,PPG.N,2021-01-21T21:17:46Z,5171000000.0,6798000000.0,4831000000.0,278000000.0,3757000000.0,2265000000.0,471000000.0,966000000.0,5815000000.0
5604,PPG.N,2020-10-19T20:15:00Z,4828000000.0,7002000000.0,4613000000.0,448000000.0,3685000000.0,2158000000.0,593000000.0,842000000.0,5424000000.0
5605,PPG.N,2020-07-16T20:15:00Z,4613000000.0,7077000000.0,5234000000.0,97000000.0,3015000000.0,1826000000.0,333000000.0,480000000.0,4938000000.0
5606,PPG.N,2020-04-27T20:20:00Z,4751000000.0,7066000000.0,5195000000.0,248000000.0,3377000000.0,2037000000.0,323000000.0,-159000000.0,4837000000.0
5607,PPG.N,2020-01-16T11:52:00Z,4539000000.0,6170000000.0,4375000000.0,303000000.0,3672000000.0,2245000000.0,422000000.0,809000000.0,5403000000.0
5608,PPG.N,2019-10-17T10:52:00Z,4885000000.0,6817000000.0,4578000000.0,372000000.0,3826000000.0,2314000000.0,494000000.0,789000000.0,5355000000.0
5609,PPG.N,2019-07-18T10:51:00Z,4845000000.0,6707000000.0,4706000000.0,277000000.0,4024000000.0,2414000000.0,530000000.0,552000000.0,5187000000.0
5610,PPG.N,2019-04-18T10:51:00Z,4626000000.0,6409000000.0,4588000000.0,317000000.0,3624000000.0,2191000000.0,423000000.0,-66000000.0,5010000000.0
5611,PPG.N,2019-01-17T11:30:00Z,4365000000.0,5961000000.0,4373000000.0,259000000.0,3645000000.0,2315000000.0,345000000.0,800000000.0,4732000000.0
5612,PPG.N,2018-10-18T10:51:00Z,5023000000.0,6741000000.0,3933000000.0,359000000.0,3817000000.0,2375000000.0,461000000.0,556000000.0,5078000000.0
5613,PPG.N,2018-07-19T10:51:00Z,5048000000.0,6879000000.0,4047000000.0,375000000.0,4131000000.0,2504000000.0,567000000.0,359000000.0,4983000000.0
5614,LYV.N,2021-05-06T20:05:19Z,5289891000.0,4096098000.0,3815747000.0,-322722000.0,290609000.0,242842000.0,-303034000.0,74574000.0,-394114000.0
5615,LYV.N,2021-02-25T21:05:24Z,4855096000.0,3649768000.0,3796569000.0,-463826000.0,237383000.0,315214000.0,-380108000.0,-126485000.0,-133752000.0
5616,LYV.N,2020-11-05T21:03:06Z,4849274000.0,3859857000.0,3582877000.0,-542458000.0,184018000.0,247487000.0,-501033000.0,-566543000.0,247024000.0
5617,LYV.N,2020-08-05T20:03:07Z,4831088000.0,4433194000.0,3492296000.0,-610584000.0,74084000.0,315324000.0,-585508000.0,-1022035000.0,683530000.0
5618,LYV.N,2020-05-07T20:05:16Z,3651019000.0,4851025000.0,4730056000.0,-210922000.0,1365693000.0,985800000.0,-162440000.0,631675000.0,1230832000.0
5619,LYV.N,2020-02-27T21:01:09Z,3271262000.0,4192899000.0,4107599000.0,-136639000.0,2889448000.0,2295282000.0,-77340000.0,436861000.0,1463954000.0
5620,LYV.N,2019-10-31T20:01:08Z,2694934000.0,3849723000.0,3959372000.0,193972000.0,3773684000.0,2907335000.0,279136000.0,-260401000.0,1522832000.0
5621,LYV.N,2019-07-25T20:05:19Z,2708642000.0,4284887000.0,4605723000.0,116120000.0,3157009000.0,2431240000.0,171485000.0,-175727000.0,1407756000.0
5622,LYV.N,2019-05-02T20:01:12Z,2715966000.0,4424874000.0,4688882000.0,-55241000.0,1727828000.0,1250516000.0,-24010000.0,469050000.0,1240394000.0
