,Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90_days,1_yr,fwd_ret
10560,2017-10-24,RHI.N,0.0133341370375335,0.1794390721351521,0.0219396118791688,0.220613339250356,0.1496383363471971,0.2882472137791287,0.1285882815572159
12918,2018-01-30,RHI.N,0.006757754835509,0.1587584734046579,0.0192481581736115,0.201901477107265,0.0862982588947764,0.2155866158407453,0.0008710801393729
15199,2018-04-24,RHI.N,0.01343667088758,0.1557619598766891,0.0195028635438974,0.2032276040842472,0.0068349106203995,0.2205226258763544,0.2005221932114882
17590,2018-07-24,RHI.N,0.0135897615911966,0.1379299575164385,0.0192694760216104,0.1883467864894216,0.2005221932114882,0.5589963833634719,-0.0720603160794548
20092,2018-10-23,RHI.N,0.0133727219924352,0.1298772331984629,0.0182530311410344,0.1775810922890758,-0.1410548919608106,0.2405504942818375,-0.05125
22543,2019-01-29,RHI.N,0.0163439727711668,0.1530139759286305,0.0230107387695106,0.2220560720066407,0.0167448091091761,0.0578397212543553,0.1329051383399211
24841,2019-04-23,RHI.N,0.0142228538167266,0.1395146179654937,0.0195800660003635,0.1970971664611236,0.1511044176706828,0.1973890339425588,-0.1452245965983428
27333,2019-07-23,RHI.N,0.0169570320662568,0.164111941225682,0.0245083083842979,0.2336464074117705,-0.1452245965983428,-0.1474554153979991,-0.0494897959183673
29934,2019-10-23,RHI.N,0.0179081495079137,0.1699150704242475,0.0260867326168274,0.2490898449113001,-0.0801514154048715,-0.0259672359707215,0.0848094471282876
32775,2020-01-30,RHI.N,0.0153913922963373,0.1559957614687079,0.021651270168657,0.217714291243645,0.0318243703199456,-0.0451968503937006,-0.2779152234867227
35019,2020-04-23,RHI.N,0.0207584779025843,0.2608632947125349,0.0320447957287704,0.369108491364134,-0.2999680204669012,-0.298959167333867,0.2300137048880768
37652,2020-07-23,RHI.N,0.0076301073470213,0.1910509773344804,0.0104296517261112,0.1995796574352792,0.2300137048880768,-0.1188021600392734,0.0458681522748374
40232,2020-10-22,RHI.N,0.0124817427570619,0.1967493012775333,0.0186622631853171,0.2170521462389971,0.0680826853783425,-0.0276243093922652,0.1505681818181816
43048,2021-01-28,RHI.N,0.0132579320989039,0.1692471585489302,0.0197801055541394,0.1991796421144621,0.2869910625620655,0.11397627643115,0.2731481481481481
1352,2016-10-25,T.N,0.0133209132895002,0.4947750638907506,0.0180548075119237,0.1104685140150477,-0.1417212347988773,0.0981448234590065,0.1277929155313351
3512,2017-01-25,T.N,0.0093308465880555,0.4714623695610248,0.0135070131829343,0.1101436247490074,0.1228974498100923,0.16493104418801,-0.0350326165740517
6013,2017-04-25,T.N,0.0135678164560289,0.4843620518106317,0.0181191300011932,0.1049219700642794,-0.0343326885880077,0.0315082644628099,-0.0931397095643464
8319,2017-07-25,T.N,0.0168776160304847,0.5376911007413046,0.0221538699185361,0.1134520781520408,-0.0931397095643464,-0.1529466791393825,-0.0375483158475979
10591,2017-10-24,T.N,0.0125943955979073,0.5195759900675166,0.0203937460301072,0.1112916656379547,-0.0833552458585328,-0.0430963491627779,0.0742971887550201
13053,2018-01-31,T.N,0.0797580670569394,0.5901560689030599,0.0123558605458202,0.1178358911001386,0.1165772212283842,-0.0905779504613889,-0.0600801068090787
15430,2018-04-25,T.N,0.021283400773926,0.6661677050474655,0.0239103560446258,0.1137588646936181,-0.0491626148028092,-0.1180155349536455,-0.1
17583,2018-07-24,T.N,0.0218162161481999,0.7778509802801301,0.0223977879091458,0.094389812931138,-0.0948571428571428,-0.1669734420194584,-0.0416666666666666
20218,2018-10-24,T.N,0.0193473282561701,0.7539142868250025,0.0207151079201135,0.1089693296329011,0.0003294892915979,-0.0985748218527315,-0.0326086956521738
22617,2019-01-30,T.N,0.0233879141196563,0.8862613673061802,0.0226100081962887,0.1234355731275718,0.0096253007906497,-0.2157543391188251,0.0483486550902281
24963,2019-04-24,T.N,0.0179299379918103,0.810314131235352,0.0192978358197672,0.1100730482622099,-0.0032372936225315,-0.1252840909090909,0.0795712893796687
27539,2019-07-24,T.N,0.0151826179020443,0.7534348577368666,0.0183713116746804,0.1079350573652129,0.0795712893796687,0.0988429752066115,0.157942238267148
30334,2019-10-28,T.N,0.0133817061516209,0.6620291700940713,0.0161057299388336,0.0998918189612899,0.1260971328262141,0.298582995951417,-0.0374123148869837
32594,2020-01-29,T.N,0.0083753854043409,0.6453040044220354,0.0155159636880133,0.1003970336976883,-0.0374123148869837,0.2325349301397206,-0.2045883940620783
34982,2020-04-22,T.N,0.0218949227643268,0.8502528340146908,0.0204579918436659,0.1122591627860678,-0.2451331967213115,-0.0286750164798945,0.014591109602986
37666,2020-07-23,T.N,0.0057059618944814,0.8166443233455787,0.0203393132559461,0.1063722704764997,0.0135593220338983,-0.1244509516837482,-0.0541806020066888
40248,2020-10-22,T.N,0.0135969527466509,0.8642236949792932,0.0162929119646112,0.1138916778242762,-0.0436252959080148,-0.2338119750745054,0.0304101838755304
42849,2021-01-27,T.N,-0.0680089015640193,0.7888651989209137,0.0080401980715632,0.1234839294412756,0.0642804967129291,-0.2214800961795351,0.0761839396019217
1795,2016-10-27,KIM.N,-0.0045189693226752,0.4308653814874226,0.0051889738544064,0.0164299254783612,-0.1766355140186916,-0.0127007844602166,-0.0590238365493757
3921,2017-02-02,KIM.N,0.0061899346628501,0.4915166091724104,0.0062174896206477,0.018738329583101,-0.0382830626450115,-0.0979325353645266,-0.1499798954563731
6190,2017-04-26,KIM.N,0.0068756809318092,0.5542601616003894,0.0065407178868431,0.0201019217913522,-0.1584394904458599,-0.2561576354679803,-0.066225165562914
8407,2017-07-26,KIM.N,0.016799805958331,0.6697812254146929,0.0072722293507757,0.0222638744557596,-0.066225165562914,-0.3798303487276154,-0.0633232016210739
10765,2017-10-25,KIM.N,0.0121894822027803,0.6265089328484872,0.0074596878445186,0.0211709660459824,-0.1203615604186489,-0.3004161937192584,-0.2287723093564088
13658,2018-02-14,KIM.N,0.0094399025986964,0.6982236273306361,0.0082435614134638,0.0240444199951804,-0.2474934036939313,-0.411473380107305,-0.0133239831697054
15529,2018-04-26,KIM.N,0.0210673567865058,0.8865677913267995,0.0106173145915177,0.0274151625413714,-0.1309450277949352,-0.3065549531789058,0.1847903340440655
17907,2018-07-26,KIM.N,0.020776965500836,0.749572502505266,0.0091502184441516,0.0242961614328584,0.1847903340440655,-0.1832435080842723,-0.0491901619676066
20354,2018-10-25,KIM.N,0.0114974098755433,0.7624405104006835,0.0093131343171645,0.0238022594821547,-0.0106117353308364,-0.1367102396514161,0.073186119873817
22669,2019-01-31,KIM.N,0.0112526639438545,0.8639932642814205,0.0304990229258584,0.0258255429759226,0.0684673366834172,0.1074218750000002,0.0576131687242795
25814,2019-05-02,KIM.N,0.012938420358448,0.6814201418588659,0.0111535317784734,0.0233527566356809,0.0576131687242795,0.2527855153203342,0.0361311839911062
27556,2019-07-25,KIM.N,0.0110052080984184,0.6787601498105057,0.0099927409894042,0.0224519643176818,0.0507328072153328,0.1181763647270546,0.1351931330472102
30104,2019-10-24,KIM.N,0.0066235165910186,0.556007433104734,0.0087621283920445,0.0200848596511137,0.1291355389541089,0.3350157728706624,-0.0855387523629489
32702,2020-01-30,KIM.N,0.0103045016060783,0.5439934167176598,0.0103435500912957,0.0208297494647124,-0.0838068181818181,0.1276223776223777,-0.4366925064599484
36745,2020-05-08,KIM.N,0.0198588377339316,1.1499216236313892,0.0120649984237365,0.0304349721686149,-0.4444444444444444,-0.3974571586511884,0.0944954128440367
39424,2020-08-07,KIM.N,0.1325841956219158,1.0005662062234166,0.0236637197457149,0.0221590633606278,0.0944954128440367,-0.3711122825513969,-0.1123218776194467
41762,2020-11-05,KIM.N,-0.0092400971165971,1.124224067809243,0.007250368124968,0.0260239521949973,-0.1123218776194467,-0.4920863309352519,0.6949952785646836
43745,2021-02-11,KIM.N,0.0301845176367412,0.8638620648692958,0.0074915894995026,0.0231635514767162,0.2694483734087693,-0.0680166147455868,0.1821727019498606
6340,2017-04-27,HIG.N,0.0212384139638987,0.9556724420951156,0.0214178822304985,0.1846186046810745,-0.0067943174799258,0.0869761153672825,0.0970149253731342
8580,2017-07-27,HIG.N,-0.0020712335833718,0.8951871547333248,-0.0082201462361789,0.1751140243646606,0.0970149253731342,0.3279799247176913,0.0215419501133786
10457,2017-10-23,HIG.N,0.0115880851464175,0.8534079971291166,0.0105607793678301,0.167852387225058,0.0022246941045607,0.2657457269960197,-0.0133185349611542
13461,2018-02-08,HIG.N,-0.1844479222314731,0.6721415777994864,0.0202457386956141,0.1844210046658023,-0.0361402240693892,0.1145006268282491,-0.0213723284589426
15510,2018-04-26,HIG.N,0.0321056975155124,0.706809350831457,0.0255366191268121,0.1994065783063714,-0.1075397503846811,0.0794044665012407,0.0193486590038314
18005,2018-07-26,HIG.N,0.031783033266337,0.685137345978462,0.0272333338052518,0.2096791569024934,0.0193486590038314,-0.0293688434877781,-0.1441458372486375
20393,2018-10-25,HIG.N,0.0241251571129283,0.7108544557649665,0.026823104665017,0.2155634580541832,-0.1237252260919761,-0.175,0.0355731225296442
22815,2019-02-04,HIG.N,0.0119153911619282,0.800651573496515,0.0114221198069328,0.2223953915349864,0.0383091149273446,-0.1514933429291112,0.0899067005937235
25686,2019-05-01,HIG.N,0.0348460443662011,0.780885915828821,0.038025968648179,0.2203990492339944,0.1022946600900707,-0.0170204628035953,0.1070038910505837
28449,2019-08-01,HIG.N,0.0184681997198156,0.742600353250006,0.0297571860353778,0.2053165193660489,0.0912926735711545,0.0784685367702804,0.0110720562390158
31000,2019-11-04,HIG.N,0.0239100744396349,0.7183973511023144,0.0312401813198636,0.1988958210697987,-0.0015619576535924,0.2646735546273906,0.045367634277768
32848,2020-02-03,HIG.N,0.024791352837206,0.7275782666919256,0.0283645249819405,0.1993323498730866,0.0536089698668535,0.2443616801158701,-0.3157632191553043
