Instrument,date,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce
IRM.N,2020-08-06T10:00:17Z,0.70387,0.70387,0.7024,-0.34678,810297000.0,1468118000.0,4192784000.0,202264000.0,14367553000.0,189873000.0,907180000.0,1024331000.0,-4772583000.0,9693840000.0,11984282000.0,5796914000.0,313659000.0,106807000.0,1.08882532431241,945736000.0,14177680000.0,0.7910499633419276,4.267573588661895,0.057153003876515764,0.05639770390963583,0.1932598960499754,8786660000.0,5.984982133588717,0.014266367981221188,0.01407783218200065,0.048240977832390126,0.3062086376376386,0.022123436274482145,0.021831066153018542,0.07480924369106541,0.026172531654378627,0.9232718720804115,0.06670597728260196,0.06582443092431954,0.2255627764273094,0.07891469843583454
IRM.N,2020-05-07T10:12:43Z,1.05065,1.0502,1.04856,0.11909,817874000.0,1476176000.0,4277452000.0,301791000.0,13566336000.0,176633000.0,152684000.0,1123841000.0,-4639036000.0,8897731000.0,11985073000.0,5762877000.0,125415000.0,103206000.0,0.434926601909425,292135000.0,13389703000.0,0.7277488541528562,4.630357860648916,0.06108231078762539,0.06028702222914131,0.1912058861209898,8745047000.0,5.924122191391812,0.022539036153378458,0.022245579056865465,0.07055391854777096,0.11159496761552569,0.009366525904271365,0.009244574216649211,0.029320025099054296,0.010464266675722375,0.2599433549763712,0.02181788498221357,0.021533817237019633,0.06829649987889987,0.024374903682272107
IRM.N,2020-02-13T11:03:52Z,0.93156,0.93119,0.92952,-0.42019,779404000.0,1437605000.0,4262584000.0,267377000.0,13816816000.0,180885000.0,193555000.0,1464227000.0,-4443227000.0,8732261000.0,11867307000.0,5907454000.0,318510000.0,164426000.0,1.10561886678492,197197000.0,13635931000.0,0.5322972462603135,4.308837106448848,0.05715810676953411,0.05640981250673093,0.1828477749646693,8538706000.0,5.939535546968743,0.019608268771673897,0.019351564065121805,0.0627265058002376,0.217527746722332,0.02335814107595587,0.023052344331718683,0.0747222811327589,0.026839282071324185,0.13467652215127845,0.014461572150812438,0.01427224622517952,0.04626231412683011,0.01661682806385644
IRM.N,2019-10-31T10:13:54Z,1.35175,1.35138,1.39179,0.1448,761219000.0,1410513000.0,4244483000.0,387521000.0,13577167000.0,182613000.0,186778000.0,1511849000.0,-4356597000.0,8683268000.0,11747056000.0,5868446000.0,218414000.0,177686000.0,0.75919649902152,233944000.0,13394554000.0,0.5035020031762432,4.168481981019971,0.056830484986659505,0.05606611452889988,0.17934316146395216,8496490000.0,6.023687835560537,0.02893123578433444,0.02854211044174385,0.09129992981477367,0.14446813140730325,0.01630617936214972,0.016086861125004945,0.051458328375917635,0.01859308408847289,0.15474032128870013,0.01746560579769957,0.017230693266128347,0.05511719566317028,0.01991511745581191
IRM.N,2019-08-01T10:11:54Z,1.20695,1.24714,1.24704,0.00132,747612000.0,1397142000.0,4243250000.0,345715000.0,13720982000.0,180069000.0,161996000.0,1658981000.0,-4314463000.0,8586823000.0,12104195000.0,5973444000.0,312664000.0,194831000.0,1.0875988326185,187525000.0,13540913000.0,0.4506453057629955,4.151808473418523,0.055211343577792726,0.05448677069906512,0.1761885347316326,8424827000.0,6.030043474464299,0.025531144022563325,0.025196082904270264,0.08147410593295233,0.1884674990250039,0.02309031894673572,0.022787290297443724,0.0736850291639663,0.025831044526298527,0.11303625538809667,0.013848770758663023,0.013667024707123733,0.04419371943675249,0.015492562702434983
TWTR.N,2021-04-29T20:05:13Z,-1.35197,-1.35197,-1.36017,0.09622,86283000.0,591863000.0,3944730000.0,-1059225000.0,14984075000.0,1006660000.0,8806287000.0,7736650000.0,6357471000.0,5199071000.0,12947382000.0,1379179000.0,390184000.0,181181000.0,0.447362778853617,1595448000.0,13977415000.0,0.011152501405647147,0.08571215703415254,0.006173029848509184,0.005758313409402983,0.021872979899765003,-3607216000.0,-6.094680694687791,-0.07578117985335629,-0.07069004926897389,-0.2685164764128343,0.05043319783110261,0.027915319105857556,0.02603991237363668,0.09891272659979264,0.03013613099543985,0.2062194877627914,0.1141447113074914,0.10647624227721765,0.40445049471066463,0.12322552930005463
TWTR.N,2021-02-09T21:05:11Z,-1.44819,-1.44819,-1.44889,0.1268,26658000.0,521835000.0,3716349000.0,-1135626000.0,13379090000.0,863852000.0,7472302000.0,7970082000.0,6599398000.0,3487305000.0,11426264000.0,1370684000.0,330300000.0,295525000.0,0.41595305258916,35641000.0,12515238000.0,0.003344758560827856,0.030859452776633035,0.002130043391903534,0.0019925121962704488,0.007173169150690637,-3984997000.0,-7.636507708375253,-0.09073946496263195,-0.08488066079232594,-0.3055757142292072,0.041442484531526776,0.02639182730683987,0.02468777771881346,0.08887755159701094,0.028907086340732194,0.004471848595786091,0.002847808407638752,0.0026639330477633383,0.009590326419827632,0.0031192172699668064
TWTR.N,2020-10-29T20:07:41Z,-1.57499,-1.57499,-1.57802,-0.01102,-72382000.0,410560000.0,3434649000.0,-1238969000.0,13088792000.0,855161000.0,7681047000.0,7812088000.0,6464018000.0,3460035000.0,11153689000.0,1348070000.0,214787000.0,290746000.0,0.266358541784735,-78166000.0,12233631000.0,-0.009265384619323285,-0.08464137162475838,-0.005916640774926103,-0.005530074891556073,-0.021074060260597226,-4221012000.0,-10.28110872954014,-0.10127565560870685,-0.09465877370501419,-0.3607265254761112,0.027494185933389384,0.017557093229311885,0.01640999413849651,0.06253535659684585,0.01925703684225013,-0.010005775664585447,-0.006389435810185872,-0.005971979690715537,-0.022758075133732732,-0.0070080849483968935
TWTR.N,2020-07-23T11:00:14Z,-1.56397,-1.56397,-1.56736,-3.20972,-84344000.0,396601000.0,3322133000.0,-1231106000.0,12547587000.0,847625000.0,7766014000.0,7658055000.0,6309383000.0,3434604000.0,11706480000.0,1348672000.0,201016000.0,164416000.0,0.25577515971951,32392000.0,11699962000.0,-0.011013762632940087,-0.09950626751216635,-0.007208912302450213,-0.006721929881817117,-0.025388507925480405,-4331410000.0,-10.92132899311903,-0.10522307679289898,-0.09811496027084729,-0.37057697569603626,0.026248962693529884,0.017180910502102485,0.016020291391484275,0.060508113311538096,0.017171344417792538,0.004229794641067477,0.002768556000438292,0.0025815322101372957,0.009750362192001344,0.002767014508204003
TWTR.N,2020-04-30T11:00:21Z,1.64575,1.64575,1.61212,-0.26031,265272000.0,737996000.0,3480076000.0,1266459000.0,13540725000.0,1914350000.0,7670664000.0,8795627000.0,7461429000.0,3412166000.0,12830705000.0,1334198000.0,246767000.0,122667000.0,0.316089141885106,1115757000.0,11626375000.0,0.0301595326859586,0.13857027189385432,0.022816398060444464,0.019590679228770985,0.07622592150286372,-4258498000.0,-5.770353768855116,0.10892982550451022,0.09352963006042882,0.36391705238621225,0.028055646288775094,0.021224758361914182,0.018224061119327065,0.07090850889463333,0.019232536325946237,0.12685360577477875,0.09596774575050263,0.08240009305262458,0.3206128256969101,0.08695991373817728
TWTR.N,2020-02-06T12:00:22Z,1.90606,1.90606,1.86822,-0.18275,366373000.0,831922000.0,3459329000.0,1465659000.0,12703389000.0,1964933000.0,6639052000.0,8704386000.0,7392581000.0,2532481000.0,11870913000.0,1311805000.0,277179000.0,151615000.0,0.351395482983538,826163000.0,10738456000.0,0.042090619602577366,0.18645572139100927,0.034117847109491346,0.028840571598649778,0.1059086892284602,-4106571000.0,-4.936245224912913,0.1364869400219175,0.11537543249285682,0.42368303217184605,0.03184360160498397,0.025811811306951392,0.021819295622609054,0.08012507627924374,0.02334942560862842,0.09491341491519333,0.07693498953667083,0.06503485014904291,0.23882174837952677,0.0695955736513274
TWTR.N,2019-10-24T11:00:06Z,2.08881,2.08881,2.04655,-0.99589,420397000.0,880196000.0,3360824000.0,1602189000.0,11600925000.0,1950498000.0,5816384000.0,8415642000.0,7125255000.0,1831918000.0,10838298000.0,1290387000.0,335519000.0,170252000.0,0.424426613773413,-784194000.0,9650427000.0,0.04995423997361104,0.21553316127471037,0.04356252837309686,0.03623823100313121,0.12508747854692778,-3984466000.0,-4.526794032238274,0.16602260190144955,0.13810872839881302,0.4767250531417295,0.03986849725784438,0.03476726988349842,0.028921745464262547,0.09983236253966289,0.030956797829327077,-0.09318290868361558,-0.08126003129187963,-0.0675975407133483,-0.2333338490798685,-0.07235398030207325
TWTR.N,2019-07-26T11:00:17Z,3.0847,3.0847,3.01733,1.32326,468120000.0,919880000.0,3295218000.0,2354846000.0,12521607000.0,2011151000.0,6686538000.0,8344814000.0,7047209000.0,2749909000.0,10787869000.0,1297605000.0,338973000.0,135795000.0,0.431781936575225,186065000.0,10510456000.0,0.05609711612505683,0.23276223416342184,0.044538505275127926,0.037384977822734734,0.14206040389437058,-3936629000.0,-4.279502761229725,0.22404793854805158,0.1880626025078091,0.7146252539285717,0.04062079753964558,0.0322510269773262,0.027071046072600746,0.10286815621910296,0.031421683003380926,0.022297081756405834,0.017702847526310943,0.014859514437723528,0.05646515647826639,0.01724761396342503
DIS.N,2021-05-13T20:05:02Z,-2.49653,-2.48219,-2.48421,0.24145,1608000000.0,6910000000.0,58348000000.0,-4513000000.0,200250000000.0,11133000000.0,15890000000.0,89786000000.0,-33056000000.0,56146000000.0,164198000000.0,122842000000.0,1393000000.0,770000000.0,0.761618370694368,-926000000.0,189117000000.0,0.01790925088543871,0.14443546213958502,0.008502672948492202,0.008029962546816479,0.027558785219716185,40256000000.0,5.82575976845152,-0.023863534214269472,-0.022536828963795257,-0.07734626722424076,0.015514668211079679,0.007365810582866691,0.006956304619225967,0.0238739973949407,0.008483659971497826,-0.010313411890495177,-0.004896439770089416,-0.004624219725343321,-0.015870295468567903,-0.00563953275922971
DIS.N,2021-02-11T21:05:00Z,-2.73798,-2.72527,-2.72421,-1.15793,1218000000.0,6582000000.0,60760000000.0,-4954000000.0,201888000000.0,10618000000.0,17068000000.0,88728000000.0,-33643000000.0,58275000000.0,166012000000.0,122371000000.0,75000000.0,760000000.0,0.041140976412507,-1002000000.0,191270000000.0,0.01372734649715986,0.11471086833678659,0.006367961520363883,0.006033048026628626,0.020046082949308756,41207000000.0,6.260559100577332,-0.02590055941862289,-0.024538357901410682,-0.0815339038841343,0.0008452799567216662,0.00039211585716526374,0.00037149310508796955,0.0012343647136273865,0.00045177457051297497,-0.01129294022180146,-0.005238667851727924,-0.004963147883975273,-0.016491112574061884,-0.006035708262053346
DIS.N,2020-11-12T21:05:01Z,-1.58005,-1.56232,-1.58052,-0.97663,3794000000.0,9159000000.0,65388000000.0,-2864000000.0,201549000000.0,7431000000.0,17914000000.0,88263000000.0,-33621000000.0,58936000000.0,165672000000.0,121884000000.0,1667000000.0,729000000.0,0.920485919381557,-4935000000.0,194118000000.0,0.042985169323499085,0.5105638541246131,0.01954481294882494,0.018824206520498737,0.05802287881568483,41022000000.0,4.47887323943662,-0.014753912568643815,-0.01420994398384512,-0.04380008564262556,0.018886736231489978,0.008587560143830041,0.008270941557636108,0.02549397442955894,0.010062050316287605,-0.055912443492743276,-0.02542268104967082,-0.02448536087998452,-0.07547256377316938,-0.02978777343184123
DIS.N,2020-08-04T20:14:23Z,-0.60342,-0.74376,-0.76501,-3.58642,6511000000.0,11836000000.0,69818000000.0,-1100000000.0,207649000000.0,8223000000.0,23115000000.0,90463000000.0,-31919000000.0,64730000000.0,167570000000.0,122382000000.0,1162000000.0,708000000.0,0.642343836373687,9399000000.0,199426000000.0,0.07197417728795198,0.7918034780493737,0.03264870177409164,0.03135579752370587,0.09325675327279498,41615000000.0,3.5159682325109833,-0.005515830433343696,-0.005297400902484481,-0.015755249362628548,0.012845030564982369,0.005826722694132159,0.005595981680624516,0.01664327250852216,0.006934415468162559,0.1038988315664968,0.047130263857270364,0.04526388280222876,0.13462144432667794,0.0560899922420481
DIS.N,2020-05-05T20:05:01Z,2.983,2.66176,2.63523,-3.30898,9208000000.0,14448000000.0,78284000000.0,5381000000.0,206294000000.0,6556000000.0,14339000000.0,94877000000.0,-34237000000.0,55764000000.0,161725000000.0,129114000000.0,3157000000.0,1247000000.0,1.73843612334802,8894000000.0,199738000000.0,0.09705197255393826,1.4045149481391093,0.04610039151288187,0.04463532628190835,0.11762301364263451,41425000000.0,2.8671788482834994,0.026940291782234727,0.026084132354794613,0.06873690664759083,0.03327466087671406,0.015805705474171164,0.01530340194091927,0.04032752542026468,0.019520791466996444,0.09374242440212065,0.04452833211507074,0.04311322675405004,0.11361197690460376,0.054994589581078994
DIS.N,2020-02-04T21:05:00Z,6.29198,5.95258,5.90523,-0.70383,11235000000.0,15969000000.0,75181000000.0,10373000000.0,200948000000.0,7004000000.0,6833000000.0,94773000000.0,-34749000000.0,48356000000.0,157122000000.0,129522000000.0,1630000000.0,1338000000.0,0.897083104017611,1469000000.0,193944000000.0,0.11854642144914691,1.6040833809251855,0.05792909293404282,0.05590998666321635,0.1494393530280257,41523000000.0,2.6002254367837687,0.05348451099286392,0.05162031968469455,0.13797369016107794,0.017198991273886022,0.008404487893412532,0.008111551247088799,0.021681009829611204,0.010374104199284633,0.015500195203275195,0.00757435135915522,0.007310348945995979,0.01953951131269869,0.009349422741563881
