Instrument,Original Announcement Date Time,e_p,b_p,ebit_ev,rev_ev
BR,2020-08-11T11:00:12Z,0.0158536055289163,0.092933738984266,0.0196016160775989,0.0861977427706877
BR,2020-05-08T11:00:10Z,0.0153214110710978,0.1104556163848627,0.0182819201832558,0.0994800698173772
BR,2020-01-31T12:00:12Z,0.0007131064774048,0.0794584187793441,0.0017619266041919,0.0613949029309609
BR,2019-11-06T12:00:11Z,0.0039251966841714,0.0802874756472573,0.0050730854713328,0.0606086760466792
BR,2019-08-01T11:00:06Z,0.0123612352421813,0.0760354213614809,0.0152753540420388,0.0755780588877345
BR,2019-05-07T11:00:14Z,0.0143560536238209,0.105511158340928,0.0182104241555195,0.095113550130833
BR,2019-02-07T12:00:08Z,0.0044405934082838,0.0999000032092075,0.0062635774759061,0.078265986442057
BR,2018-11-06T13:22:30Z,0.0049894912774478,0.0802742142942719,0.0061184545058609,0.0596396046423002
BR,2018-08-07T12:31:02Z,0.0152366041948148,0.0806258025647286,0.0188552101322284,0.0919365563463605
BR,2018-05-08T17:00:00Z,0.0085262371671096,0.0907954385036476,0.009929069799917,0.0785459034577935
BR,2018-02-08T17:00:00Z,0.0058821717576605,0.1017303134899753,0.0101896651721173,0.0887368261936407
BR,2017-11-08T16:00:00Z,0.0052977623534701,0.110191333600534,0.0082224604047846,0.0887296544030907
BR,2017-08-10T12:00:00Z,0.0210598620564997,0.1129871166879448,0.0331851162847517,0.1385252155583712
BR,2017-05-10T16:00:00Z,0.0094439896538181,0.1172473181922643,0.0156077774860288,0.1116786291181172
BR,2017-02-08T13:02:00Z,0.0038126145238177,0.1248662922783905,0.0092158675032293,0.1006864545089658
BR,2016-11-09T11:00:00Z,0.004196507570922,0.1309136026501598,0.0086683964210226,0.1002689317279276
BR,2016-08-09T17:00:00Z,0.0220690126842721,0.135644637045306,0.0347573126379326,0.1218819761268994
QCOM,2021-04-28T20:05:52Z,0.011662954643418,0.049140621607682,0.0148242941201775,0.0510993804707247
QCOM,2021-02-03T21:06:19Z,0.0145886514315983,0.0438550906579208,0.015939248924188,0.0479575136611942
QCOM,2020-11-04T22:22:17Z,0.0229126212058888,0.0470405402257386,0.0263054674342035,0.0624240634648458
QCOM,2020-07-29T20:19:05Z,0.0085339604482363,0.0333884890436325,0.0097947923155932,0.0468942454013676
QCOM,2020-04-29T20:19:06Z,0.0061485731398224,0.0400051393392291,0.0120072257022127,0.0635189546275269
QCOM,2020-02-05T21:05:04Z,0.0091226636859395,0.0445087364482648,0.0103202951437189,0.0479379125751702
QCOM,2019-11-06T21:04:46Z,0.0054317575505642,0.0526966359994467,0.0082413452940985,0.0497165867741733
QCOM,2019-07-31T20:07:14Z,0.0232379046950004,0.0590733705671417,0.0146594971175856,0.0521966942823126
QCOM,2019-05-01T20:07:21Z,0.0096053917215285,0.0560097200534377,0.0148874650778583,0.0663411010893471
QCOM,2019-01-30T21:06:39Z,0.0155090640035862,0.0525246109559656,0.013238324068193,0.064616900340918
QCOM,2018-11-07T22:03:11Z,-0.0048478517262465,0.0076261527155573,-0.0092822961209791,0.0524785782651835
QCOM,2018-07-25T20:07:58Z,0.013858558839096,0.2659644220468107,0.0198623806440374,0.0760800115740362
QCOM,2018-04-25T17:00:00Z,0.0041542723232939,0.299850340813752,0.017868688136857,0.0829107129550168
QCOM,2018-01-31T23:00:00Z,-0.0626999805803932,0.2507160848078433,0.018149854716123,0.0728287055929539
QCOM,2017-11-01T17:00:00Z,0.0019248697480698,0.3998786842848387,0.0219932812009488,0.095504847581931
QCOM,2017-07-19T16:00:00Z,0.0102996028173508,0.3721891115082892,0.0144409995672746,0.063110340663818
QCOM,2017-04-19T16:00:00Z,0.0089089057555027,0.3728180801074463,0.0140551690196852,0.0583132570742278
QCOM,2017-01-25T17:00:00Z,0.0069067037410718,0.3161184124304362,0.0212734677927642,0.0602263016936255
QCOM,2016-11-02T17:00:00Z,0.0172918261727321,0.3436520651138718,0.0216313026214571,0.0722679499789794
QCOM,2016-07-20T16:00:00Z,0.0188610590844989,0.4003011618854837,0.0276771974309778,0.0848711219040232
ATVI,2021-05-04T20:05:02Z,0.0085910034400335,0.2127765326965334,0.0124144582762471,0.0343587500954528
ATVI,2021-02-04T21:05:01Z,0.0070931088656189,0.2095463222245827,0.0096763836230344,0.0362413622651537
