,Instrument,Income Available to Common Shares,Original Announcement Date Time
467,PWR,27344000.0,2019-08-01T10:56:20Z
468,PWR,120488000.0,2019-05-02T10:57:40Z
469,PWR,56816000.0,2019-02-21T11:54:04Z
470,PWR,124551000.0,2018-11-01T10:58:17Z
471,PWR,74365000.0,2018-08-02T17:00:00Z
472,PWR,37614000.0,2018-05-03T17:00:00Z
473,PWR,113561000.0,2018-02-22T17:00:00Z
474,PWR,89313000.0,2017-11-02T17:00:00Z
475,PWR,63837000.0,2017-08-03T12:13:00Z
476,PWR,48267000.0,2017-05-04T17:00:00Z
477,PWR,87583000.0,2017-02-21T11:12:56Z
478,PWR,73742000.0,2016-11-03T11:07:00Z
479,PWR,16562000.0,2016-08-04T11:07:00Z
480,XOM,2730000000.0,2021-04-30T11:29:43Z
481,XOM,-20070000000.0,2021-02-02T12:30:01Z
482,XOM,-680000000.0,2020-10-30T11:29:26Z
483,XOM,-1080000000.0,2020-07-31T11:40:38Z
484,XOM,-610000000.0,2020-05-01T11:36:43Z
485,XOM,5690000000.0,2020-01-31T12:32:43Z
486,XOM,3170000000.0,2019-11-01T11:29:17Z
487,XOM,3130000000.0,2019-08-02T11:29:28Z
488,XOM,2350000000.0,2019-04-26T11:59:41Z
489,XOM,6000000000.0,2019-02-01T13:03:54Z
490,XOM,6240000000.0,2018-11-02T11:57:09Z
491,XOM,3950000000.0,2018-07-27T17:00:00Z
492,XOM,4650000000.0,2018-04-27T17:00:00Z
493,XOM,8380000000.0,2018-02-02T17:00:00Z
494,XOM,3970000000.0,2017-10-27T17:00:00Z
495,XOM,3350000000.0,2017-07-28T03:30:00Z
496,XOM,4010000000.0,2017-04-27T13:00:00Z
497,XOM,1680000000.0,2017-01-31T17:00:00Z
498,XOM,2650000000.0,2016-10-28T13:00:00Z
499,XOM,1700000000.0,2016-07-29T12:00:00Z
500,CMA,343000000.0,2021-04-20T10:28:26Z
501,CMA,209000000.0,2021-01-19T11:39:36Z
502,CMA,203000000.0,2020-10-20T10:42:08Z
503,CMA,112000000.0,2020-07-21T10:39:54Z
