,Instrument,Common Equity - Total,Original Announcement Date Time
6373,ANET,1524552000.0,2017-11-02T17:00:00Z
6374,ANET,1357749000.0,2017-08-03T21:05:00Z
6375,ANET,1228374000.0,2017-05-04T06:51:00Z
6376,ANET,1107820000.0,2017-02-16T17:00:00Z
6377,ANET,1011420000.0,2016-11-03T17:00:00Z
6378,ANET,916832000.0,2016-08-04T21:05:00Z
6379,MCO,2030000000.0,2021-04-28T11:00:00Z
6380,MCO,1569000000.0,2021-02-12T12:20:38Z
6381,MCO,1497000000.0,2020-10-29T11:03:14Z
6382,MCO,1041000000.0,2020-07-30T11:03:24Z
6383,MCO,582000000.0,2020-04-30T11:22:55Z
6384,MCO,612000000.0,2020-02-12T12:00:01Z
6385,MCO,472600000.0,2019-10-30T11:04:04Z
6386,MCO,352800000.0,2019-07-31T11:02:35Z
6387,MCO,123200000.0,2019-04-24T11:03:33Z
6388,MCO,459900000.0,2019-02-15T18:37:39Z
6389,MCO,400100000.0,2018-10-26T11:33:30Z
6390,MCO,242900000.0,2018-07-27T17:00:00Z
6391,MCO,199700000.0,2018-04-27T17:00:00Z
6392,MCO,-327700000.0,2018-02-09T16:00:00Z
6393,MCO,-369100000.0,2017-11-03T17:00:00Z
6394,MCO,-679800000.0,2017-07-21T17:00:00Z
6395,MCO,-927100000.0,2017-05-05T21:30:00Z
6396,MCO,-1225000000.0,2017-02-17T16:00:00Z
6397,MCO,-564500000.0,2016-10-21T17:00:00Z
6398,MCO,-600000000.0,2016-07-22T17:00:00Z
6399,MPC,21592000000.0,2021-05-04T10:40:04Z
6400,MPC,22199000000.0,2021-02-02T11:43:39Z
6401,MPC,22453000000.0,2020-11-02T11:30:07Z
6402,MPC,23741000000.0,2020-08-03T10:40:05Z
6403,MPC,24088000000.0,2020-05-05T10:45:26Z
6404,MPC,33694000000.0,2020-01-29T11:34:18Z
6405,MPC,33738000000.0,2019-10-31T10:30:08Z
6406,MPC,34207000000.0,2019-08-01T10:30:18Z
6407,MPC,33951000000.0,2019-05-08T10:59:22Z
6408,MPC,35175000000.0,2019-02-07T11:34:50Z
6409,MPC,15166000000.0,2018-11-01T11:07:45Z
6410,MPC,14958000000.0,2018-07-26T11:11:39Z
6411,MPC,14988000000.0,2018-04-30T17:00:00Z
6412,MPC,14033000000.0,2018-02-01T17:00:00Z
6413,MPC,12930000000.0,2017-10-26T16:00:00Z
6414,MPC,12636000000.0,2017-07-27T17:00:00Z
6415,MPC,13070000000.0,2017-04-27T17:00:00Z
6416,MPC,13557000000.0,2017-02-01T11:35:00Z
6417,MPC,13395000000.0,2016-10-27T16:00:00Z
6418,MPC,13490000000.0,2016-07-28T17:00:00Z
6419,DHI,12963100000.0,2021-04-22T10:30:00Z
6420,DHI,12485200000.0,2021-01-26T11:30:00Z
6421,DHI,11840000000.0,2020-11-10T11:30:00Z
6422,DHI,11048000000.0,2020-07-28T10:30:00Z
6423,DHI,10458000000.0,2020-04-28T10:30:00Z
6424,DHI,10227400000.0,2020-01-27T11:30:00Z
6425,DHI,10020900000.0,2019-11-12T11:30:00Z
6426,DHI,9642400000.0,2019-07-30T10:30:00Z
6427,DHI,9360300000.0,2019-04-25T10:00:00Z
6428,DHI,9124700000.0,2019-01-25T11:30:00Z
6429,DHI,8984400000.0,2018-11-08T11:33:50Z
6430,DHI,8597300000.0,2018-07-26T09:55:00Z
6431,DHI,8198900000.0,2018-04-26T17:00:00Z
6432,DHI,7882000000.0,2018-01-31T17:00:00Z
6433,DHI,7747100000.0,2017-11-09T17:00:00Z
6434,DHI,7436200000.0,2017-07-26T17:00:00Z
6435,DHI,7219600000.0,2017-04-20T21:25:00Z
6436,DHI,6981300000.0,2017-01-24T11:55:00Z
6437,DHI,6792500000.0,2016-11-08T11:55:00Z
6438,DHI,6512200000.0,2016-07-21T17:00:00Z
6439,TFC,60752000000.0,2021-04-15T11:56:35Z
6440,TFC,62759000000.0,2021-01-21T11:10:33Z
6441,TFC,61819000000.0,2020-10-15T10:28:39Z
6442,TFC,61634000000.0,2020-07-16T10:06:56Z
6443,TFC,61295000000.0,2020-04-20T10:20:41Z
6444,TFC,61282000000.0,2020-01-30T11:11:50Z
6445,TFC,29177000000.0,2019-10-17T10:12:42Z
6446,TFC,28650000000.0,2019-07-18T10:06:33Z
6447,TFC,27770000000.0,2019-04-18T10:44:26Z
6448,TFC,27069000000.0,2019-01-17T11:09:38Z
6449,TFC,26895000000.0,2018-10-18T10:12:14Z
6450,TFC,26727000000.0,2018-07-19T17:00:00Z
6451,TFC,26559000000.0,2018-04-19T17:00:00Z
6452,TFC,26595000000.0,2018-01-18T16:00:00Z
6453,TFC,26757000000.0,2017-10-19T17:00:00Z
6454,TFC,27254000000.0,2017-07-20T10:45:00Z
6455,TFC,26928000000.0,2017-04-20T17:00:00Z
6456,TFC,26828000000.0,2017-01-19T10:45:00Z
6457,TFC,26999000000.0,2016-10-19T17:00:00Z
6458,TFC,26651000000.0,2016-07-21T10:45:00Z
6459,AES,2334000000.0,2021-05-06T10:06:24Z
6460,AES,2634000000.0,2021-02-25T11:00:36Z
6461,AES,2004000000.0,2020-11-06T11:04:52Z
6462,AES,2462000000.0,2020-08-06T10:00:19Z
6463,AES,2539000000.0,2020-05-07T10:07:44Z
6464,AES,2996000000.0,2020-02-28T11:00:00Z
6465,AES,3140000000.0,2019-11-06T11:00:00Z
6466,AES,3208000000.0,2019-08-06T10:00:00Z
6467,AES,3234000000.0,2019-05-07T10:09:34Z
6468,AES,3208000000.0,2019-02-27T11:00:00Z
6469,AES,3305000000.0,2018-11-06T11:00:00Z
6470,AES,3309000000.0,2018-08-07T10:10:34Z
