Instrument,Original Announcement Date Time,e_p,b_p
PFG,2020-04-27T20:15:00Z,0.03371849537657605,1.5064779476398593
PFG,2020-01-28T21:15:00Z,0.019702780227363888,0.9571792667451158
PFG,2019-10-25T10:07:18Z,0.017394389304223927,0.9293035659963618
PFG,2019-07-25T20:15:00Z,0.02394395567895304,0.8699100045752063
PFG,2019-04-25T20:18:32Z,0.030793592973277915,0.9092956190741548
PFG,2019-01-29T21:15:00Z,0.018916592885890236,0.9110359110794495
PFG,2018-10-25T20:15:00Z,0.02735049102875543,0.7013425935333366
PFG,2018-08-01T13:52:55Z,0.03011048911728882,0.7675536924723166
PFG,2018-04-26T17:00:00Z,0.022651111006399296,0.6951569496950077
PFG,2018-01-29T17:00:00Z,0.041316288750703326,0.6306550119320649
PFG,2017-10-26T17:00:00Z,0.04357851637442985,0.6452546455618493
PFG,2017-07-27T20:15:00Z,0.01676041155020412,0.6047882140026968
PFG,2017-04-27T22:28:39Z,0.019175000316337794,0.583444313150684
PFG,2017-01-30T17:00:00Z,0.019104596265083183,0.6144290483707082
PFG,2016-10-27T16:00:00Z,0.020804730544381138,0.7286785993977177
PFG,2016-07-28T18:00:00Z,0.027048019323979558,0.8811544787340619
WST,2021-04-29T10:02:38Z,0.007265895556166673,0.08789234769992622
WST,2021-02-18T11:03:28Z,0.004698173027961586,0.0885443280523858
WST,2020-10-22T10:03:03Z,0.00405442594759557,0.08467986344255195
WST,2020-07-23T10:05:40Z,0.00545447392309663,0.09606931428366355
WST,2020-04-23T10:05:12Z,0.0066086525149477585,0.13254662150437618
WST,2020-02-13T11:04:05Z,0.0057448436213605215,0.1414364316920872
WST,2019-10-24T10:06:49Z,0.005365298937645932,0.14176587388351847
WST,2019-07-25T10:10:29Z,0.007187529941976494,0.15713615006278717
WST,2019-04-25T10:05:49Z,0.006817731360859269,0.16853579600535684
WST,2019-02-14T14:46:26Z,0.007160532101810427,0.19227405718765192
WST,2018-10-25T10:05:21Z,0.0060794483558416915,0.14888040375773184
WST,2018-07-26T16:00:00Z,0.007679095391122635,0.175469382921214
WST,2018-04-26T17:00:00Z,0.006677741721344742,0.19991872176310302
WST,2018-02-15T17:00:00Z,0.0,0.17469374548919506
WST,2017-10-26T16:00:00Z,0.007159425877243227,0.18486760662238444
WST,2017-07-26T10:00:00Z,0.005547047579058941,0.17761989464491823
WST,2017-04-27T12:00:00Z,0.010145411256613068,0.19467861403083794
WST,2017-02-16T13:26:46Z,0.0062981131546000334,0.18000361765385006
WST,2016-10-27T16:00:00Z,0.006896277691967765,0.20951111722166962
WST,2016-08-01T16:00:00Z,0.008045672509885892,0.1996838720909935
HON,2021-04-23T10:50:17Z,0.009464924362887707,0.11929651688219922
HON,2021-01-29T11:58:04Z,0.00910561531726816,0.11758237174594477
HON,2020-10-30T10:30:16Z,0.006562515205901607,0.15647875967211827
HON,2020-07-24T10:30:17Z,0.010653308178773248,0.17883957772451262
HON,2020-05-01T10:30:07Z,0.01683702209984408,0.1879015926183738
HON,2020-01-31T11:30:09Z,0.012350517882524283,0.14622949918015626
HON,2019-10-17T10:30:11Z,0.013432692463653011,0.14978610087702734
HON,2019-07-18T10:30:08Z,0.012128464263053085,0.14064611056506077
HON,2019-04-18T10:30:12Z,0.012232993045199316,0.16213035344580196
HON,2019-02-01T11:30:09Z,0.0175958972785751,0.1858764744477021
HON,2018-10-19T10:30:34Z,0.018920389973452086,0.14760008243190445
HON,2018-07-20T10:30:35Z,0.01177561361376952,0.16357600600027117
HON,2018-04-20T17:00:00Z,0.013296531459527269,0.16269295621027977
HON,2018-01-26T17:00:00Z,-0.021720691047007166,0.1421796285829878
HON,2017-10-20T17:00:00Z,0.012504281648074246,0.19548607674444854
HON,2017-07-21T11:36:00Z,0.013731024775582907,0.2014771415526443
HON,2017-04-21T11:32:00Z,0.013929571440154677,0.2134922174798367
HON,2017-01-27T11:35:00Z,0.0117450988442409,0.21937398217367599
HON,2016-10-21T16:00:00Z,0.013955144591950332,0.21597837085816032
HON,2016-07-22T17:00:00Z,0.01490312259112096,0.21208985152231355
YUM,2021-04-28T11:00:00Z,0.010092083138457065,-0.24493423862414818
YUM,2021-02-04T12:00:01Z,0.01013768548892326,-0.2409532415454622
YUM,2020-10-29T11:03:10Z,0.010284257559336362,-0.2877775109978256
YUM,2020-07-30T11:03:25Z,0.007875011840850793,-0.30995434954183604
YUM,2020-04-29T11:00:00Z,0.004025086082285271,-0.39906546230271683
YUM,2020-02-06T12:00:00Z,0.016017322558124554,-0.2631042164465705
YUM,2019-10-30T11:00:00Z,0.0073880639883171,-0.23459276122903358
YUM,2019-08-01T11:00:01Z,0.008534573479586532,-0.2360739806083555
YUM,2019-05-01T11:00:01Z,0.008581194757125822,-0.26182469804757186
YUM,2019-02-07T12:00:01Z,0.011634880588910929,-0.2753356172896766
YUM,2018-10-31T11:00:00Z,0.01573612924638651,-0.2747237013366949
YUM,2018-08-02T11:00:00Z,0.012696758306156897,-0.29499197335613125
YUM,2018-05-02T17:00:00Z,0.015488241598827215,-0.2592223715166301
YUM,2018-02-08T17:00:00Z,0.01585336150525053,-0.24558165964784878
YUM,2017-11-02T17:00:00Z,0.016470464970444607,-0.2495787682363544
YUM,2017-08-03T12:00:00Z,0.007928133463327713,-0.23557332489819868
YUM,2017-05-03T12:00:00Z,0.012438895330341294,-0.2710790689490806
YUM,2017-02-09T12:00:00Z,0.013036486365250151,-0.2500595998509369
YUM,2016-10-05T16:00:00Z,0.017481193173036855,-0.1578085203643118
YUM,2016-07-13T17:00:00Z,0.010085124344355413,-0.056405297217987795
AMP,2021-04-26T20:09:43Z,0.016123376778174887,0.20299958588905775
AMP,2021-01-27T21:08:00Z,0.007720279031165472,0.25590326031552446
AMP,2020-10-28T20:08:00Z,-0.007553426290549374,0.32733312360545036
AMP,2020-07-29T20:10:00Z,-0.0293645265468855,0.35411766707746895
AMP,2020-05-06T20:13:10Z,0.16156397670369418,0.5311137996452973
AMP,2020-01-29T21:10:00Z,0.02193798097621155,0.27145290067541245
AMP,2019-10-23T20:10:00Z,0.028206282621905845,0.3115157953656894
AMP,2019-07-24T20:10:00Z,0.025311834732956385,0.31022431593440447
AMP,2019-04-25T01:10:01Z,0.0227730171933883,0.33686769483789325
AMP,2019-01-30T21:15:00Z,0.03705836650393609,0.3841969425306027
AMP,2018-10-23T20:10:00Z,0.024012278567812993,0.2681928051570048
AMP,2018-07-24T17:00:00Z,0.022839132859055485,0.2784199053294383
AMP,2018-04-23T17:00:00Z,0.0274385423117863,0.2697661399003906
AMP,2018-01-24T17:00:00Z,0.007060316131157823,0.23913330625023246
AMP,2017-10-24T17:00:00Z,0.02276803209091033,0.2831409118997823
AMP,2017-07-25T21:08:00Z,0.02025161699133222,0.322067700243833
AMP,2017-04-24T17:00:00Z,0.0201974152024508,0.3120826413539978
AMP,2017-02-01T17:00:00Z,0.022756025899180053,0.35884941092140576
AMP,2016-10-25T21:10:00Z,0.013349922344745252,0.4219817314180871
AMP,2016-07-26T17:00:00Z,0.02248572915927409,0.4758248776420717
UDR,2021-04-27T20:16:00Z,0.00015731687799784997,0.22713876343513498
