,Date,Value,Val_ex_cash,model
118,2020-03-19,887136.5520743085,884564.6510511243,MF_MLP
119,2020-03-20,873949.6835120146,871377.7824888304,MF_MLP
120,2020-03-23,840378.5808492235,837806.6798260394,MF_MLP
121,2020-03-24,888255.332048311,885683.4310251268,MF_MLP
122,2020-03-25,896591.5992571681,894019.698233984,MF_MLP
123,2020-03-26,918788.6121496271,916216.7111264429,MF_MLP
124,2020-03-27,913800.6229928567,911228.7219696725,MF_MLP
125,2020-03-30,931686.0977573317,929114.1967341475,MF_MLP
126,2020-03-31,941312.7955041096,938740.8944809254,MF_MLP
127,2020-04-01,906530.2506702697,0.0,MF_MLP
128,2020-04-01,906530.2506702697,904008.4674045193,MF_MLP
129,2020-04-02,907602.7256999086,905080.9424341582,MF_MLP
130,2020-04-03,910789.4879946812,908267.7047289308,MF_MLP
131,2020-04-06,951265.3603381251,948743.5770723748,MF_MLP
132,2020-04-07,979989.348973463,977467.5657077127,MF_MLP
133,2020-04-08,979417.3841724206,976895.6009066702,MF_MLP
134,2020-04-09,988714.6112842791,986192.8280185288,MF_MLP
135,2020-04-13,992272.6533621029,989750.8700963525,MF_MLP
136,2020-04-14,1031712.4919328039,1029190.7086670535,MF_MLP
137,2020-04-15,1032663.341921567,1030141.5586558166,MF_MLP
138,2020-04-16,1049277.4591560233,1046755.6758902728,MF_MLP
139,2020-04-17,1058188.5168350625,1055666.7335693121,MF_MLP
140,2020-04-20,1050655.382711344,1048133.5994455934,MF_MLP
141,2020-04-21,1023608.6227638334,1021086.839498083,MF_MLP
142,2020-04-22,1036605.9852950613,1034084.2020293109,MF_MLP
143,2020-04-23,1043771.4037249428,1041249.6204591924,MF_MLP
144,2020-04-24,1049197.5360846082,1046675.7528188578,MF_MLP
145,2020-04-27,1060376.7442351652,1057854.9609694148,MF_MLP
146,2020-04-28,1051111.25368183,1048589.4704160795,MF_MLP
147,2020-04-29,1066092.920763243,1063571.1374974926,MF_MLP
148,2020-04-30,1081495.222900755,1078973.4396350046,MF_MLP
149,2020-05-01,1062726.9688449143,1060205.185579164,MF_MLP
150,2020-05-04,1060311.6796236522,1057789.8963579019,MF_MLP
151,2020-05-05,1081316.4810407427,1078794.6977749923,MF_MLP
